주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,장애인주차면,가족배려주차면,경차주차면,환경친화적,대형차 주차면,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금, 월정기권요금  ,관리기관명
논현로32길 15,공영,노외,논현로32길 15,도곡동 516-2,16,1,0,0,0,0,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,300,180000,강남구도시관리공단
논현초교,공영,노외,강남대로120길 33,논현동 168,186,6,36,0,10,0,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,300,180000,강남구도시관리공단
대왕초교,공영,노외,헌릉로618길 8,세곡동 517,101,4,11,3,5,0,4,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,100,70000,강남구도시관리공단
대청역,공영,노외,개포로 623-1,개포동 13-2,162,6,29,0,8,0,4,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,100,70000,강남구도시관리공단
대치2문화센터,공영,노외,영동대로65길 24,대치동 980-9,156,5,31,0,8,0,2,미시행,"평일+토요일+공휴일(단, 일요일 00시~12시 운영)",00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,혼합,5분,300,180000,강남구도시관리공단
대치동 507-3,공영,노상,삼성로 151 주변,대치동 506,27,1,0,0,0,0,2,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,300,120000,강남구도시관리공단
대치유수지체육공원,공영,노상,역삼로107길 20-30 외,대치동 78-24,49,2,6,0,3,0,3,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,200,80000,강남구도시관리공단
도곡로 327,공영,노외,도곡로 327,역삼동 765-22,19,1,0,0,0,0,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,400,미운영,강남구도시관리공단
도곡로 421,공영,노외,도곡로 421,대치동 939-21,25,1,0,0,0,0,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,400,280000,강남구도시관리공단
도곡로21길 7,공영,노외,도곡로21길 7,역삼동 795-38외2,75,3,9,20,4,0,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,400,280000,강남구도시관리공단
도곡정보문화도서관,공영,부설,도곡로18길 57,도곡동 892-6,61,2,17,0,3,0,급지없음,미시행,"평일+토요일+공휴일(단, 일요일 제외 공휴일 미 운영)",09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,혼합,5분,200,60000,강남구도시관리공단
도곡초교,공영,노외,선릉로64길 33,대치동 924-10,195,6,38,0,10,0,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,300,180000,강남구도시관리공단
도산대로45길,공영,노상,도산대로 323 주변,신사동 651,32,1,5,0,0,0,1,미시행,평일,10:00:00,20:00:00,미운영,미운영,미운영,미운영,유료,5분,400,150000,강남구도시관리공단
삼성1문화센터,공영,노외,봉은사로 616,"삼성동 161-2,3",66,2,14,2,4,0,1,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,400,280000,강남구도시관리공단
선릉로132길,공영,노상,학동로 405 주변,청담동 42,17,0,0,0,0,0,1,미시행,평일,09:00:00,19:00:00,미운영,미운영,미운영,미운영,유료,5분,400,미운영,강남구도시관리공단
선릉로146길,공영,노상,선릉로 742 주변,청담동 23-3,30,1,6,0,0,0,1,미시행,평일,10:00:00,20:00:00,미운영,미운영,미운영,미운영,유료,5분,400,150000,강남구도시관리공단
신구초교,공영,노외,압구정로18길 28,신사동 550-4,184,6,19,0,9,0,2,미시행,평일+토요일+공휴일,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,유료,5분,300,180000,강남구도시관리공단
압구정428,공영,노외,압구정로 161,압구정동 428,343,11,41,8,17,0,1,미시행,평일+토요일+공휴일,09:00:00,21:00:00,09:00:00,21:00:00,09:00:00,21:00:00,유료,5분,400,미운영,강남구도시관리공단
