고유번호(관리번호),건물명,허가일자,사용검사일자,주차장명,주차장구분,주차장유형,주차시설형태,소재지도로명주소,소재지지번주소,총 주차구획(면) 수,법정주차구획(면) 수,계획주차구획(면) 수,일반주차구획 수,전용주차구획(장애인) 수,전용주차구획(경차) 수,전용주차구획(여성) 수,전용주차구획(전기차) 수,전용주차구획(나눔카) 수,전용주차구획(기타) 수,전기차충전기 수,방범설비유형,급지구분,부제시행구분,일반인 개방 여부,운영방식,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,소유주체,운영주체,데이터 관리기관명,전화번호,위도,경도,현장 이미지,데이터기준일자
367-3-015778,,2009-08-26,2010-01-28,하기동 521-6번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 43(하기동),대전광역시 유성구 하기동 521-6,11,12,,11,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3852587,127.323003,,2022-10-31
367-3-015779,,,,하기동 522-2번지 주차장,민영,부설,,대전광역시 유성구 송림로58번길 23 (하기동),대전광역시 유성구 하기동 522-2,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3856472,127.3235619,,2022-10-31
367-3-015780,,,,하기동 522-4번지 주차장,민영,부설,,대전광역시 유성구 송림로58번길 31 (하기동),대전광역시 유성구 하기동 522-4,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3853577,127.3233749,,2022-10-31
367-3-015781,,,,하기동 523-12번지 주차장,민영,부설,,대전광역시 유성구 송림로54번길 99 (하기동),대전광역시 유성구 하기동 523-12,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3864805,127.3243015,,2022-10-31
367-3-015782,,2008-04-11,2016-03-23,하기동 523-4번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로58번길 11(하기동),대전광역시 유성구 하기동 523-4,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3861936,127.323876,,2022-10-31
367-3-015783,,,,하기동 523-9번지 주차장,민영,부설,,대전광역시 유성구 송림로54번길 89 (하기동),대전광역시 유성구 하기동 523-9,8,,,8,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3861097,127.3240706,,2022-10-31
367-3-015784,,2007-02-06,2007-07-16,하기동 524-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로58번길 8(하기동),대전광역시 유성구 하기동 524-1,7,7,,7,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3864824,127.323699,,2022-10-31
367-3-015785,,2014-07-08,2014-11-07,하기동 524-3번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 19(하기동),대전광역시 유성구 하기동 524-3,7,7,,7,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3861945,127.323531,,2022-10-31
367-3-015786,,2010-05-24,2011-04-14,하기동 526-3번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 14(하기동),대전광역시 유성구 하기동 526-3,6,6,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3865284,127.323365,,2022-10-31
367-3-015787,,2010-10-15,2011-04-12,하기동 526-4번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로54번길 16(하기동),대전광역시 유성구 하기동 526-4,6,6,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3863933,127.32332,,2022-10-31
367-3-015788,,,,하기동 526-5번지 주차장,민영,부설,,대전광역시 유성구 송림로54번길 20 (하기동),대전광역시 유성구 하기동 526-5,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3862761,127.3232221,,2022-10-31
367-3-015789,,2011-04-05,2011-12-22,하기동 527-10번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 5-18(하기동),대전광역시 유성구 하기동 527-10,6,6,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3866012,127.323098,,2022-10-31
367-3-015790,,,,하기동 527-12번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 5-10 (하기동),대전광역시 유성구 하기동 527-12,4,,,4,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3868711,127.3232504,,2022-10-31
367-3-015791,,,,하기동 527-1번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 5-4 (하기동),대전광역시 유성구 하기동 527-1,4,,,4,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3869243,127.3230938,,2022-10-31
367-3-015792,,,,하기동 527-3번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 15 (하기동),대전광역시 유성구 하기동 527-3,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3866711,127.3229511,,2022-10-31
367-3-015793,,,,하기동 527-5번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 21 (하기동),대전광역시 유성구 하기동 527-5,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.386418,127.3228084,,2022-10-31
367-3-015794,,2010-05-13,2011-04-22,하기동 527-6번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 23(하기동),대전광역시 유성구 하기동 527-6두이빌,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3862867,127.32274,,2022-10-31
367-3-015795,,2010-04-16,2010-08-12,하기동 527-7번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 31(하기동),대전광역시 유성구 하기동 527-7,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3862142,127.322896,,2022-10-31
367-3-015796,,,,하기동 527-8번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 5-24 (하기동),대전광역시 유성구 하기동 527-8,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3863558,127.3229762,,2022-10-31
367-3-015797,,,,하기동 528-10번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 16 (하기동),대전광역시 유성구 하기동 528-10,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3867599,127.3227051,,2022-10-31
367-3-015798,,,,하기동 528-11번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 10 (하기동),대전광역시 유성구 하기동 528-11,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3868954,127.3227709,,2022-10-31
367-3-015799,,,,하기동 528-12번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 6-1 (하기동),대전광역시 유성구 하기동 528-12,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.387022,127.3228366,,2022-10-31
367-3-015800,,2012-04-30,2012-09-07,하기동 528-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-5(하기동),대전광역시 유성구 하기동 528-1,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3870799,127.322687,,2022-10-31
367-3-015801,,,,하기동 528-2번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 6-13 (하기동),대전광역시 유성구 하기동 528-2,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3869486,127.3226143,,2022-10-31
367-3-015802,,,,하기동 528-4번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 6-19 (하기동),대전광역시 유성구 하기동 528-4,6,,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3866954,127.3224716,,2022-10-31
367-3-015803,,2006-08-07,2007-01-18,하기동 528-5번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-23(하기동),대전광역시 유성구 하기동 528-5,5,5,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.386558,127.322407,,2022-10-31
367-3-015804,,2008-08-05,2008-12-17,하기동 528-6번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-27(하기동),대전광역시 유성구 하기동 528-6,2,4,,2,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.386414,127.322328,,2022-10-31
367-3-015805,,,,하기동 528-8번지 주차장,민영,부설,,대전광역시 유성구 송림로48번길 22 (하기동),대전광역시 유성구 하기동 528-8,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3865067,127.3225624,,2022-10-31
367-3-015806,,2009-06-04,2009-12-15,하기동 528-9번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 18(하기동),대전광역시 유성구 하기동 528-9행복한집,5,6,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3866115,127.322619,,2022-10-31
367-3-015807,,2009-06-29,2009-10-27,하기동 529-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-10(하기동),대전광역시 유성구 하기동 529-1,4,5,,4,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3871977,127.322432,,2022-10-31
367-3-015808,,2006-06-12,2008-07-08,하기동 529-4번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-20(하기동),대전광역시 유성구 하기동 529-4,4,4,,4,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3867838,127.322196,,2022-10-31
367-3-015809,,2006-08-22,2007-04-26,하기동 529-6번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로48번길 6-28(하기동),대전광역시 유성구 하기동 529-6,2,3,,2,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3864778,127.322061,,2022-10-31
367-3-015810,,,,하기동 53-1번지 주차장,민영,부설,,대전광역시 유성구 하기로143번길 184-66 (하기동),대전광역시 유성구 하기동 53-1,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3936128,127.3361786,,2022-10-31
367-3-015811,,2013-04-10,2015-02-06,하기동 532-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로 50(하기동),대전광역시 유성구 하기동 532-1,2,2,,2,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3871145,127.323245,,2022-10-31
367-3-015812,,2016-02-23,2016-11-21,하기동 532-2번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로 52(하기동),대전광역시 유성구 하기동 532-2,7,7,,7,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3869965,127.323545,,2022-10-31
367-3-015813,,2005-05-17,2005-11-23,하기동 533-1번지 주차장,민영,부설,기계식,대전광역시 유성구 송림로 56(하기동),대전광역시 유성구 하기동 533-1하나빌딩,10,13,,9,1,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3868692,127.323968,,2022-10-31
367-3-015814,,2009-08-07,2010-05-07,하기동 533-2번지 주차장,민영,부설,기계식,대전광역시 유성구 송림로 58(하기동),대전광역시 유성구 하기동 533-2,24,24,,24,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3867694,127.324213,,2022-10-31
367-3-015815,,2013-04-04,2015-05-22,하기동 533-3번지 주차장,민영,부설,기계식,대전광역시 유성구 송림로 62(하기동),대전광역시 유성구 하기동 533-3,24,24,,24,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3866966,127.324469,,2022-10-31
367-3-015816,,2011-05-19,2011-09-19,하기동 534-1번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로 55(하기동),대전광역시 유성구 하기동 534-1,0,1,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.387202,127.324193,,2022-10-31
367-3-015817,,,,하기동 53-5번지 주차장,민영,부설,,,대전광역시 유성구 하기동 53-5,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3933677,127.3358574,,2022-10-31
367-3-015818,,,,하기동 536-1번지 주차장,민영,부설,,대전광역시 유성구 송림로 41 (하기동),대전광역시 유성구 하기동 536-1,0,,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3877248,127.3228082,,2022-10-31
367-3-015819,,2010-12-16,2010-12-28,하기동 536-2번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로 45(하기동),대전광역시 유성구 하기동 536-2,0,3,,0,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3875924,127.323124,,2022-10-31
367-3-015820,,2005-07-11,2005-12-20,하기동 537-10번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로53번길 16(하기동),대전광역시 유성구 하기동 537-10,3,3,,3,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3876813,127.323593,,2022-10-31
367-3-015821,,,,하기동 537-12번지 주차장,민영,부설,,대전광역시 유성구 송림로53번길 22 (하기동),대전광역시 유성구 하기동 537-12,7,,,7,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3878174,127.3232533,,2022-10-31
367-3-015822,,2006-02-09,2006-08-18,하기동 537-14번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로53번길 34(하기동),대전광역시 유성구 하기동 537-14,2,4,,2,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3879353,127.322936,,2022-10-31
367-3-015823,,,,하기동 537-1번지 주차장,민영,부설,,대전광역시 유성구 송림로53번길 36 (하기동),대전광역시 유성구 하기동 537-1,5,,,5,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3880503,127.3229949,,2022-10-31
367-3-015824,,2009-08-06,2010-01-20,하기동 537-3번지 주차장,민영,부설,자주식,대전광역시 유성구 송림로53번길 48(하기동),대전광역시 유성구 하기동 537-3나노빌,6,6,,6,,,,,,,,,,,,,,,,,,,,부분적 유료,,,,,,,,,,,,대전광역시 유성구청,,36.3879253,127.323326,,2022-10-31
