소재지 주소,용도,연면적,총주차대수,옥내기계식,옥외기계식,옥내자주식,옥외자주식,사용승인일,데이터 기준일자
서울특별시 동대문구 답십리동 892-0,공동주택,351.62,5,0,0,5,0,2003-04-08,2023-03-22
서울특별시 동대문구 답십리동 956-34,공동주택,572.57,7,0,0,4,3,2009-10-14,2023-03-22
서울특별시 동대문구 답십리동 989-1,공동주택,59039.5,424,0,0,261,163,1997-05-23,2023-03-22
서울특별시 동대문구 답십리동 990-0,공동주택,102271.1,782,0,0,521,261,2000-08-02,2023-03-22
서울특별시 동대문구 답십리동 990-1,공동주택,18002.03,122,0,0,82,40,2000-08-02,2023-03-22
서울특별시 동대문구 답십리동 994,공동주택,23275.97,185,0,0,172,13,2001-09-28,2023-03-22
서울특별시 동대문구 답십리동 997-0,공동주택,7302.37,263,0,0,198,65,2005-04-27,2023-03-22
서울특별시 동대문구 답십리동 998,공동주택,73428.2,597,0,0,473,124,2007-04-26,2023-03-22
서울특별시 동대문구 답십리동 999-0,공동주택,32090.69,247,0,0,228,19,2006-09-25,2023-03-22
서울특별시 동대문구 답십리동 1000,공동주택,71100.17,546,0,0,538,8,2011-06-23,2023-03-22
서울특별시 동대문구 답십리동 1000-1,공동주택,5752.44,43,0,0,43,0,2011-03-25,2023-03-22
서울특별시 동대문구 답십리동 1001,공동주택,22987.6,214,0,0,192,22,2010-09-30,2023-03-22
서울특별시 동대문구 답십리동 1002,공동주택,106252.02,877,0,0,877,0,2010-12-23,2023-03-22
서울특별시 동대문구 답십리동 1003,공동주택,404825.48,3187,0,0,3179,8,2014-10-13,2023-03-22
서울특별시 동대문구 답십리동 1006-0,공동주택,2603,39,0,0,0,39,2017-07-11,2023-03-22
서울특별시 동대문구 답십리동 1008-0,공동주택,14391.59,117,0,0,116,1,2017-10-27,2023-03-22
서울특별시 동대문구 답십리동 1009,공동주택,115464.51,910,0,0,903,7,2018-11-30,2023-03-22
