주차일시,주차장구분,주차장명,소재지 도로명 주소,주차구획수,운영요일,입차대수,출차대수,정기주차 이용대수,일일주차 이용대수
2023-02-01,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,348,355,74,413
2023-02-02,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,147,144,72,128
2023-02-02,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,211,210,142,331
2023-02-02,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,535,524,258,750
2023-02-02,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,322,306,173,467
2023-02-02,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,441,437,36,415
2023-02-02,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,365,366,78,429
2023-02-03,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,189,158,85,151
2023-02-03,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,268,257,145,373
2023-02-03,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,547,535,270,770
2023-02-03,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,362,354,193,525
2023-02-03,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,537,522,32,526
2023-02-03,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,451,437,72,494
2023-02-04,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,261,325,69,186
2023-02-04,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,288,338,38,261
2023-02-04,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,387,480,41,363
2023-02-04,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,372,416,51,385
2023-02-04,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,556,646,13,504
2023-02-04,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,377,382,37,380
2023-02-05,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,177,269,36,191
2023-02-05,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,201,305,21,257
2023-02-05,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,132,263,17,205
2023-02-05,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,175,260,15,218
2023-02-05,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,335,418,4,327
2023-02-05,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,176,213,14,205
2023-02-06,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,141,165,98,209
2023-02-06,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,186,196,143,330
2023-02-06,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,438,441,260,675
2023-02-06,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,259,256,188,439
2023-02-06,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,496,499,32,514
2023-02-06,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,400,404,77,476
2023-02-07,노외주차장,광평천1주차장,구미시 송정동 505,186,월~금,154,155,86,148
2023-02-07,노외주차장,광평천2주차장,구미시 송정동 505,171,월~금,201,192,136,309
2023-02-07,노외주차장,광평천3주차장,구미시 송정동 505,261,월~금,491,488,273,731
2023-02-07,노외주차장,광평천4주차장,구미시 송정동 505,166,월~금,251,251,181,421
2023-02-07,노외주차장,광평천5주차장,구미시 송정동 505,136,월~금,450,448,43,470
2023-02-07,노외주차장,광평천6주차장,구미시 형곡동 226,124,월~금,376,377,76,433
