주차장일련번호,주차장명,주차장전화번호,주차장주소,주차장위도,주차장경도,주차장공간,주차장일반공간,주차장장애인공간,주차장전기차공간,주차장구분,주차장유형,주차장요금제유형,주차장급지,주차장기본시간,주차장기본요금,주차장추가시간,주차장추가요금,주차장최대시간,주차장1일최대요금,주차장유료운영시간,주차장무료운영시간,비고,실시간관제여부,파일명,파일원본명,등록수,등록일시,등록아이피,등록아이디,수정일시,수정아이피,수정아이디,삭제일시,삭제아이피,삭제아이디,폐쇄회로그룹
31,임동 쌈지공영주차장,,광주광역시 북구 임동 132-25,35.1661299,126.8941004,9,8,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,임동 쌈지공영주차장
32,임동 쌈지공영주차장,,광주광역시 북구 임동 31-16 외 4,35.1633004,126.8981788,12,11,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,임동 쌈지공영주차장
33,신안동 쌈지공영주차장,,광주광역시 북구 신안동 138-3,35.1648732,126.9032909,12,11,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,신안동 쌈지공영주차장
34,신안동 쌈지공영주차장,,광주광역시 북구 신안동 261-9 외 1,35.1649758,126.9008327,9,9,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,신안동 쌈지공영주차장
35,신안동 쌈지공영주차장,,광주광역시 북구 신안동 260-15,35.1650589,126.8999061,5,5,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,신안동 쌈지공영주차장
36,문흥1동 쌈지공영주차장,,광주광역시 북구 문흥동 987-2,35.1875266,126.927849,7,6,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,문흥1동 쌈지공영주차장
37,오치1동 쌈지공영주차장,,광주광역시 북구 오치동 926-18,35.1898682,126.9083224,7,7,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치1동 쌈지공영주차장
38,오치1동 쌈지공영주차장,,광주광역시 북구 오치동 939-3,35.1885474,126.9086534,6,6,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치1동 쌈지공영주차장
39,오치1동 쌈지공영주차장,,광주광역시 북구 오치동 955-18,35.1878838,126.9062089,7,7,0,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치1동 쌈지공영주차장
40,오치2동 쌈지공영주차장,,광주광역시 북구 오치동 918-5 외 1,35.1903319,126.9035214,18,17,1,0,일반공영,근린,무료,,0,0,0,0,0,0,,매일 00:00~00:00,,N,parkinglot_16559738789401.xlsx,주차장일괄등록양식.xlsx,1,2022-06-09,192.***.***.***,j*******,,,,,,,오치2동 쌈지공영주차장
