지형지물부호,관리번호,행정읍면동,법정읍면동,도엽번호,관리기관,도로구간번호,설치일자,주차장위치구분,주차요금구분,요금,주차면수,장애자주차면수,전체면적,운영시간(개장시간),운영시간(폐장시간),주차방향,데이터기준일자
AE230,5014,4717012700,4717012900,368072053D,MNG001,6443,2017-01-01,PST001,CHR001,무료,1,0,11,0:00,0:00,PKN001,2023-08-31
AE230,5012,4717012200,4717012200,368072063A,MNG001,6808,2017-01-01,PST001,CHR001,무료,8,0,195.59,0:00,0:00,PKN001,2023-08-31
AE230,8011,4717055500,4717013000,368081666A,MNG001,8023,2010-01-01,PST002,CHR001,무료,14,6,168.88,0:00,0:00,PKN003,2023-08-31
AE230,5036,4717014300,4717012100,368072074D,MNG001,5473,2017-01-01,PST001,CHR001,무료,19,0,218.4,0:00,0:00,PKN001,2023-08-31
AE230,80,4717014400,4717011200,368072077B,MNG001,77123,2017-01-01,PST001,CHR002,30분당500원,1,0,12.26,8:00,20:00,PKN003,2023-08-31
AE230,137,4717014300,4717011700,368072075B,MNG001,78,2017-01-01,PST001,CHR002,,2,0,0,,,PKN001,2023-08-31
AE230,97,4717014400,4717010900,368072079B,MNG001,79033,2017-01-01,PST001,CHR001,,28,0,352.66,,,PKN001,2023-08-31
AE230,75,4717014400,4717011200,368072077B,MNG001,67053,2017-01-01,PST001,CHR002,30분당500원,1,0,13.83,8:00,20:00,PKN003,2023-08-31
AE230,220,4717011000,4717011000,368072090D,MNG001,567,2017-01-01,PST001,CHR001,,12,0,135.92,,,PKN001,2023-08-31
AE230,238,4717014500,4717014000,368072505B,MNG001,1995,2017-01-01,PST001,CHR001,,34,0,518.61,,,PKN001,2023-08-31
AE230,232,4717014300,4717011900,368072085B,MNG001,1512,2017-01-01,PST001,CHR001,,49,0,586.51,,,PKN002,2023-08-31
AE230,106,4717014300,4717011800,368072065D,MNG001,84,2017-01-01,PST001,CHR002,,3,0,0,8:00,20:00,PKN001,2023-08-31
