주차장관리번호,"주차혼잡상태",총주차구획수,총잔여주차구획수,주차예약가능단위구획수
44601-19299-00668-00-1,,145,0,
44701-29299-00668-00-1,,211,0,
44703-19299-00668-00-1,,105,0,
44707-29299-00002-00-1,,447,0,
44638-29299-00002-00-1,,123,0,
44241-19299-00002-00-1,,126,0,
44660-29299-00004-00-1,,519,0,
44702-29299-00002-00-1,,530,0,
44660-29299-00005-00-1,,333,0,
44660-29299-00006-00-1,,1316,0,
44719-19299-00002-00-1,,103,0,
44923-29299-00002-00-1,,231,0,
45006-19299-00002-00-1,,179,0,
45001-19299-00002-00-1,,131,0,
44623-29299-00003-00-1,,248,0,
44713-29299-00002-00-1,,155,0,
44686-29299-00002-00-1,,98,0,
44601-19299-00002-00-1,,145,0,
44701-29299-00002-00-1,,211,0,
44703-19299-00002-00-1,,105,0,
44052-29299-00002-00-1,,83,0,
44019-29299-00002-00-1,,73,0,
44026-19299-00002-00-1,,156,0,
44659-29299-00005-00-1,,775,0,
44659-29299-00006-00-1,,388,0,
44659-29299-00007-00-1,,77,0,
44659-29299-00008-00-1,,257,0,
44707-29299-00003-00-1,,447,0,
44638-29299-00003-00-1,,123,0,
44241-19299-00003-00-1,,126,0,
44660-29299-00007-00-1,,519,0,
44702-29299-00003-00-1,,530,0,
44660-29299-00008-00-1,,333,0,
44660-29299-00009-00-1,,1316,0,
44719-19299-00003-00-1,,103,0,
44923-29299-00003-00-1,,231,0,
45006-19299-00003-00-1,,179,0,
45001-19299-00003-00-1,,131,0,
44623-29299-00004-00-1,,248,0,
44713-29299-00003-00-1,,155,0,
44686-29299-00003-00-1,,98,0,
44601-19299-00003-00-1,,145,0,
44701-29299-00003-00-1,,211,0,
44703-19299-00003-00-1,,105,0,
44052-29299-00003-00-1,,83,0,
44019-29299-00003-00-1,,73,0,
44026-19299-00003-00-1,,156,0,
44659-29299-00009-00-1,,775,0,
44659-29299-00010-00-1,,388,0,
44659-29299-00011-00-1,,77,0,
44659-29299-00012-00-1,,257,0,
44052-29299-00668-00-1,,83,0,
44019-29299-00668-00-1,,73,0,
44026-19299-00668-00-1,,100,0,
44659-29299-02669-00-1,,0,0,
44659-29299-02670-00-1,,0,0,
44659-29299-02671-00-1,,0,0,
44659-29299-02672-00-1,,0,0,
44707-29299-00004-00-1,,447,0,
44638-29299-00004-00-1,,123,0,
44241-19299-00004-00-1,,126,0,
44660-29299-00010-00-1,,519,0,
44702-29299-00004-00-1,,530,0,
44660-29299-00011-00-1,,333,0,
44660-29299-00012-00-1,,1316,0,
44719-19299-00004-00-1,,103,0,
44923-29299-00004-00-1,,231,0,
45006-19299-00004-00-1,,179,0,
45001-19299-00004-00-1,,131,0,
44623-29299-00005-00-1,,248,0,
44713-29299-00004-00-1,,155,0,
44686-29299-00004-00-1,,98,0,
44601-19299-00004-00-1,,145,0,
44701-29299-00004-00-1,,211,0,
44703-19299-00004-00-1,,105,0,
44052-29299-00004-00-1,,83,0,
44019-29299-00004-00-1,,73,0,
44026-19299-00004-00-1,,156,0,
44659-29299-00013-00-1,,775,0,
44659-29299-00014-00-1,,388,0,
44659-29299-00015-00-1,,77,0,
44659-29299-00016-00-1,,257,0,
44707-29299-00005-00-1,,447,0,
44638-29299-00005-00-1,,123,0,
44241-19299-00005-00-1,,126,0,
44660-29299-00013-00-1,,519,0,
44702-29299-00005-00-1,,530,0,
44660-29299-00014-00-1,,333,0,
44660-29299-00015-00-1,,1316,0,
44719-19299-00005-00-1,,103,0,
44923-29299-00005-00-1,,231,0,
45006-19299-00005-00-1,,179,0,
45001-19299-00005-00-1,,131,0,
44623-29299-00006-00-1,,248,0,
44713-29299-00005-00-1,,155,0,
44686-29299-00005-00-1,,98,0,
44601-19299-00005-00-1,,145,0,
44701-29299-00005-00-1,,211,0,
44703-19299-00005-00-1,,105,0,
44052-29299-00005-00-1,,83,0,
44019-29299-00005-00-1,,73,0,
