건물명,도로명주소,지번주소,종류,대수,최종검사일자,검사결과,관리인배치여부,기타
 ,서울특별시 은평구 진흥로3길 12-8 (역촌동 41-23) ,서울특별시 은평구 역촌동 41-23,다단식,5,2020-02-24,적,무,건물명미정
 ,서울특별시 관악구 신림동7길 35 (신림동 1435-27) ,서울특별시 관악구 신림동 1435-27,다단식,5,2020-03-26,적,무,건물명미정
 ,부산광역시 해운대구 송정중앙로36번길 42 (송정동 329-1) ,부산광역시 해운대구 송정동 329-1,2단식,5,2020-04-17,적,무,건물명미정
 ,경기도 포천시 호국로 1010 (선단동 58-12) ,경기도 포천시 선단동 58-12,다단식,5,2020-06-05,적,무,건물명미정
 ,부산광역시 사상구 광장로87번길 60-3 (괘법동 274-3) ,부산광역시 사상구 괘법동 274-3,2단식,5,2020-08-07,적,무,건물명미정
 ,서울특별시 강남구 테헤란로87길 9 (삼성동),서울특별시 강남구 삼성동 158-13,2단식,5,2020-09-07,적,무,건물명미정
 ,대구광역시 중구 공평동 95-20,대구광역시 중구 공평동 95-20,2단식,5,2020-09-23,적,무,건물명미정
 ,서울특별시 송파구 백제고분로28길 33 (삼전동),서울특별시 송파구 삼전동 67,다단식,5,2020-10-07,적,무,건물명미정
 ,강원도 강릉시 교동광장로100번길 8-5(교동 1877-6) ,강원도 강릉시 교동 1877-6,2단식,5,2020-10-14,적,무,건물명미정
 ,강원도 원주시 혁신로 35(반곡동 1882-2) ,강원도 원주시 반곡동 1882-2,2단식,5,2020-10-15,적,무,건물명미정
 ,충청남도 천안시 서북구 백석4길 5(백석동 888),충청남도 천안시 서북구 백석동 888,2단식,5,2020-10-26,적,무,건물명미정
 ,서울특별시 양천구 목동중앙북로5길 29 (목동),서울특별시 양천구 목동 607-18 외 1필지,다단식,5,2020-12-30,적,무,건물명미정
 ,인천광역시 미추홀구 경인로 33 (숭의동),인천광역시 미추홀구 숭의동 158-18,2단식,5,2021-01-27,적,무,건물명미정
 ,서울특별시 중랑구 봉우재로49길 9 (상봉동 85) ,서울특별시 중랑구 상봉동 85 외6필지,2단식,5,2021-04-05,적,무,건물명미정
 ,서울특별시 양천구 등촌로 120 (목동 713-11) ,서울특별시 양천구 목동 713-11,다단식,5,2021-05-07,적,무,건물명미정
 ,인천광역시 남동구 구월로266번길 16 (구월동) ,인천광역시 남동구 구월동 1264-7 외 1필지,다단식,5,2021-05-11,적,무,건물명미정
 ,경기도 김포시 김포한강9로 76번길 63,경기도 김포시 구래동 6883-2,2단식,5,2021-06-09,적,무,건물명미정
 ,서울특별시 노원구 동일로 1026 (공릉동 577-6) ,서울특별시 노원구 공릉동 577-6,다단식,5,2021-06-22,부,무,건물명미정
 ,부산광역시 수영구 수영로545번가길 31 (광안동 373-70) ,부산광역시 수영구 광안동 373-70,다단식,5,2021-07-09,적,무,건물명미정
 ,서울특별시 관악구 신림로73길 9 (신림동 1429-7) ,서울특별시 관악구 신림동 1429-7 외1필지,다단식,5,2021-08-09,적,무,건물명미정
 ,대전광역시 서구 갈마로 51 (갈마동),대전광역시 서구 갈마동 362-7,2단식,6,2010-12-08,적,무,건물명미정
 ,서울특별시 관악구 봉천로 218 (신림동),서울특별시 관악구 신림동 1443-27,다층순환식,6,2012-12-12,적,무,건물명미정
